,0
198,he even top 5 nba today ask anyone know game 90 mental 10 physical today sport way feminine way focused aesthetic
199,another paid puppet behind confusion good commentary cj
200,great point judah philadelpia 76ers could let go markelle fultz showing loyalty himxa0 good point busniness personal relationship people cant get anything cut off
201,i would answered questioned same call self confidence
202,steph guy play like lonzo ball it time go real
203,people get misunderstanding better talented
204,jokic
205,when lebron retires forgottenwhen jordan dy leave memory generation come till day planet earth extinct
206,suprised 2017 steph kd list
207,thats laugh everytime hear someone say larry bird greater lebron james larry bird dominated league player rarely worked out judah like say player today using peds elevate jordan bird era
208,might hell never ahead tim duncan never
209,when lead
210,curry best player warrior
211,rude baker
212,and wonderis stephen smith weeeeeeed lmaoo shit made day
213,im anti aau aau play remove time development home town star sebastian telfair never time develop jump shot smh
214,whats great lebrons game again nobody play defense handle absolutely pg nbiggest guy court cry call first chip pussy
215,when going get tough it playoff time could never compare mvp winner best player like kdbron
216,man soooooo hate combination woman nextremely loud obnoxious
217,i said dirk nowitzki better kobe
218,kendrick hating curry ending career
219,pipen go to jordan much respect doug ask doug come retirement coach played washington good video overall
220,russellnrodmanndreamnin order
221,weird hearuntil know fultz actually enjoy bmx biking putting 2 2 together likely lil much fun bike summer he coming clean team cuz think would void contract cuz alot contract wording prohibits person anything dangerouslike bmx biking skateboarding
222,talented skillful individually kobe
223,jordan entire different level someone like lebron comparing lebron jordan insult jordan legendary greatness lebron great player
224,knight went wanting jordan team calling best ever saw even entered league crazy
225,kobe
226,thats happens leave early nba get paid physically fit
227,raptor already landed lakers loss
228,lashannon james really really bad boo thang
229,haha
230,lost mind one statement smh nba watching dude kobe scored whole team 3 quarter pay attention watch nba game dude
231,short answer no
232,we got jayson tatum
233,dirty rodman
234,hold he would beat anyinw kobe mj
235,lakers going win championship season matter
236,judah stephen curry able win year mvp look likely move ahead kobe top 1215 range 3 x mvp thats magic johnson larry bird moses malone area kareem 6 mj russell 5 lebron dr j abanba wilt 4 magic bird moses 3 also 3 title help prove curry heading top 12 spot best
237,wa crack
238,well happen bron thing championship mvp
239,sir chroniclesofjudah hu best defender altime hu put
240,just finished rewatching chicago bull 91 championship run scottie pippen wasis best defensive player history play 8 total team russell
241,im weak lol
242,w much hate go around warrior blame tooting thier horn
243,make another great point stating wherever james played
244,called titanic it epic max
245,thank supporting channelnnhttpswwwpaypalmechroniclesofjudah144nncash app chroniclesofjudah144nnhttpswwwpatreoncomchroniclesofjudah144nnnew email listnnchroniclesofjudah144emaillistgmailcomnnjoin email list update channel
246,understand west coast offense role moving point two guard
247,420 450 lmao
248,hey
249,no team lone player avg 10 assist lion share assist team title lone exception would magic loaded team
250,compared jackie moon killed him
251,emotion alone show sign lack strength weakness word people exhibit symptom cant trusted lead allow judgment outweigh common sense entertainer luciferians believe lucifer actual deity
252,love reading comment
253,magic bird dominated coke head league 80
254,praise regular basis highest form ignorance reject something know nothing about entertainer enhancement drug
